,cwnd,p
0,526.0,1.2345069379289912e-05
1,527.0,1.2345069379289912e-05
2,528.0,1.2345069379289912e-05
3,529.0,1.2345069379289912e-05
4,530.0,1.2345069379289912e-05
5,531.0,1.2345069379289912e-05
6,532.0,1.2345069379289912e-05
7,533.0,1.2345069379289912e-05
8,534.0,1.2345069379289912e-05
9,535.0,1.2345069379289912e-05
10,536.0,1.2345069379289912e-05
11,537.0,1.2345069379289912e-05
12,538.0,1.2345069379289912e-05
13,539.0,1.2345069379289912e-05
14,540.0,1.2345069379289912e-05
15,541.0,1.2345069379289912e-05
16,542.0,1.2345069379289912e-05
17,543.0,1.2345069379289912e-05
18,544.0,1.2345069379289912e-05
19,545.0,1.2345069379289912e-05
20,546.0,1.2345069379289912e-05
21,547.0,1.2345069379289912e-05
22,548.0,1.2345069379289912e-05
23,549.0,1.2345069379289912e-05
24,550.0,1.2345069379289912e-05
25,551.0,1.2345069379289912e-05
26,552.0,1.2345069379289912e-05
27,553.0,1.2345069379289912e-05
28,554.0,1.2345069379289912e-05
29,555.0,1.2345069379289912e-05
30,556.0,1.2345069379289912e-05
31,557.0,1.2345069379289912e-05
32,558.0,1.2345069379289912e-05
33,559.0,1.2345069379289912e-05
34,560.0,1.2345069379289912e-05
35,561.0,1.2345069379289912e-05
36,562.0,1.2345069379289912e-05
37,563.0,1.2345069379289912e-05
38,564.0,1.2345069379289912e-05
39,565.0,1.2345069379289912e-05
40,566.0,1.2345069379289912e-05
41,567.0,1.2345069379289912e-05
42,568.0,1.2345069379289912e-05
43,569.0,1.2345069379289912e-05
44,570.0,1.2345069379289912e-05
45,571.0,1.2345069379289912e-05
46,572.0,1.2345069379289912e-05
47,573.0,1.2345069379289912e-05
48,574.0,1.2345069379289912e-05
49,575.0,1.2345069379289912e-05
50,576.0,1.2345069379289912e-05
51,577.0,1.2345069379289912e-05
52,578.0,1.2345069379289912e-05
53,579.0,1.2345069379289912e-05
54,580.0,1.2345069379289912e-05
55,581.0,1.2345069379289912e-05
56,582.0,1.2345069379289912e-05
57,583.0,1.2345069379289912e-05
58,584.0,1.2345069379289912e-05
59,585.0,1.2345069379289912e-05
60,586.0,1.2345069379289912e-05
61,587.0,1.2345069379289912e-05
62,588.0,1.2345069379289912e-05
63,589.0,1.2345069379289912e-05
64,590.0,1.2345069379289912e-05
65,591.0,1.2345069379289912e-05
66,592.0,1.2345069379289912e-05
67,593.0,1.2345069379289912e-05
68,594.0,1.2345069379289912e-05
69,595.0,1.2345069379289912e-05
70,596.0,1.2345069379289912e-05
71,597.0,1.2345069379289912e-05
72,598.0,1.2345069379289912e-05
73,599.0,1.2345069379289912e-05
74,600.0,1.2345069379289912e-05
75,601.0,1.2345069379289912e-05
76,602.0,1.2345069379289912e-05
77,603.0,1.2345069379289912e-05
78,604.0,1.2345069379289912e-05
79,605.0,1.2345069379289912e-05
80,606.0,1.2345069379289912e-05
81,607.0,1.2345069379289912e-05
82,608.0,1.2345069379289912e-05
83,609.0,1.2345069379289912e-05
84,610.0,1.2345069379289912e-05
85,611.0,1.2345069379289912e-05
86,612.0,1.2345069379289912e-05
87,613.0,1.2345069379289912e-05
88,614.0,1.2345069379289912e-05
89,615.0,1.2345069379289912e-05
90,616.0,1.2345069379289912e-05
91,617.0,1.2345069379289912e-05
92,618.0,1.2345069379289912e-05
93,619.0,1.2345069379289912e-05
94,620.0,1.2345069379289912e-05
95,621.0,1.2345069379289912e-05
96,622.0,1.2345069379289912e-05
97,623.0,1.2345069379289912e-05
98,624.0,1.2345069379289912e-05
99,625.0,1.2345069379289912e-05
100,626.0,1.2345069379289912e-05
101,627.0,1.2345069379289912e-05
102,628.0,1.2345069379289912e-05
103,629.0,1.2345069379289912e-05
104,630.0,1.2345069379289912e-05
105,631.0,1.2345069379289912e-05
