,cwnd,p
0,132.0,0.00012419274714356682
1,133.0,0.00012419274714356682
2,134.0,0.00012419274714356682
3,135.0,0.00012419274714356682
4,136.0,0.00012419274714356682
5,137.0,0.00012419274714356682
6,138.0,0.00012419274714356682
7,139.0,0.00012419274714356682
8,140.0,0.00012419274714356682
9,141.0,0.00012419274714356682
10,142.0,0.00012419274714356682
11,143.0,0.00012419274714356682
12,144.0,0.00012419274714356682
13,145.0,0.00012419274714356682
14,146.0,0.00012419274714356682
15,147.0,0.00012419274714356682
16,148.0,0.00012419274714356682
17,149.0,0.00012419274714356682
18,150.0,0.00012419274714356682
19,151.0,0.00012419274714356682
20,152.0,0.00012419274714356682
21,153.0,0.00012419274714356682
22,154.0,0.00012419274714356682
23,155.0,0.00012419274714356682
24,156.0,0.00012419274714356682
25,157.0,0.00012419274714356682
26,158.0,0.00012419274714356682
27,159.0,0.00012419274714356682
28,160.0,0.00012419274714356682
29,161.0,0.00012419274714356682
30,162.0,0.00012419274714356682
31,163.0,0.00012419274714356682
32,164.0,0.00012419274714356682
33,165.0,6.966213862765588e-05
34,166.0,3.403444285617044e-05
35,167.0,3.403444285617044e-05
36,168.0,3.403444285617044e-05
37,169.0,3.403444285617044e-05
38,170.0,3.403444285617044e-05
39,171.0,3.403444285617044e-05
40,172.0,3.403444285617044e-05
41,173.0,3.403444285617044e-05
42,174.0,3.403444285617044e-05
43,175.0,3.403444285617044e-05
44,176.0,3.403444285617044e-05
45,177.0,3.403444285617044e-05
46,178.0,3.403444285617044e-05
47,179.0,3.403444285617044e-05
48,180.0,3.403444285617044e-05
49,181.0,3.403444285617044e-05
50,182.0,3.403444285617044e-05
51,183.0,3.403444285617044e-05
52,184.0,3.403444285617044e-05
53,185.0,1.937421292260002e-05
54,186.0,1.937421292260002e-05
55,187.0,1.937421292260002e-05
56,188.0,1.8469267139479905e-05
57,189.0,1.8182148766341205e-05
58,190.0,1.8182148766341205e-05
59,191.0,1.8182148766341205e-05
60,192.0,1.8182148766341205e-05
61,193.0,1.8182148766341205e-05
62,194.0,1.8182148766341205e-05
63,195.0,1.8182148766341205e-05
64,196.0,1.8182148766341205e-05
65,197.0,1.8182148766341205e-05
66,198.0,1.549234678069034e-05
67,199.0,1.4955731036133046e-05
68,200.0,1.4955731036133046e-05
69,201.0,1.4955731036133046e-05
70,202.0,1.4955731036133046e-05
71,203.0,1.4955731036133046e-05
72,204.0,1.4955731036133046e-05
73,205.0,1.4955731036133046e-05
74,206.0,1.4955731036133046e-05
75,207.0,1.4955731036133046e-05
76,208.0,1.4955731036133046e-05
77,209.0,1.4955731036133046e-05
78,210.0,1.4955731036133046e-05
79,211.0,1.2504845627680727e-05
80,212.0,1.2504845627680727e-05
81,213.0,1.2504845627680727e-05
82,214.0,1.2504845627680727e-05
83,215.0,1.1541346875180333e-05
84,216.0,1.1541346875180333e-05
85,217.0,1.1322591967753258e-05
86,218.0,1.1322591967753258e-05
87,219.0,1.0718802924089437e-05
88,220.0,1.0718802924089437e-05
89,221.0,1.0718802924089437e-05
90,222.0,2.1501214818637254e-05
91,223.0,2.1501214818637254e-05
92,224.0,2.1501214818637254e-05
93,225.0,2.1501214818637254e-05
94,226.0,9.724788485850432e-06
95,227.0,9.724788485850432e-06
96,228.0,9.724788485850432e-06
97,229.0,9.576342603232974e-06
98,230.0,9.576342603232974e-06
99,231.0,9.576342603232974e-06
100,232.0,9.576342603232974e-06
101,233.0,9.576342603232974e-06
102,234.0,1.788077101884633e-05
103,235.0,1.788077101884633e-05
104,236.0,8.809330843229149e-06
105,237.0,8.75396116742826e-06
106,238.0,8.75396116742826e-06
107,239.0,1.718316393597553e-05
108,240.0,8.59106529209622e-06
109,241.0,8.184176712743581e-06
110,242.0,1.652892561983471e-05
111,243.0,1.652892561983471e-05
112,244.0,8.020275255846781e-06
113,245.0,8.034709946970915e-06
114,246.0,8.017831657606517e-06
115,247.0,7.830914885786107e-06
116,248.0,2.358045651763818e-05
117,249.0,7.828585296351096e-06
118,250.0,7.828585296351096e-06
119,251.0,1.5502193560388795e-05
120,252.0,7.675539590433208e-06
121,253.0,7.63044241305111e-06
122,254.0,2.2327076790259442e-05
123,255.0,7.659313725490196e-06
124,256.0,7.454675572519084e-06
125,257.0,7.454675572519084e-06
126,258.0,7.454675572519084e-06
127,259.0,2.2491284627206958e-05
128,260.0,2.2491284627206958e-05
129,261.0,1.4793118241394104e-05
130,262.0,7.2700836059614686e-06
131,263.0,7.228671803842762e-06
132,264.0,1.4375251566902421e-05
133,265.0,7.187780772686433e-06
134,266.0,7.187780772686433e-06
135,267.0,7.133939718209381e-06
136,268.0,7.133939718209381e-06
137,269.0,6.9355823114908726e-06
138,270.0,2.108370229812355e-05
139,271.0,1.3950990171527424e-05
140,272.0,1.3950990171527424e-05
141,273.0,6.821235871515201e-06
142,274.0,6.796340850086314e-06
143,275.0,6.7590402162892865e-06
144,276.0,6.722056411497406e-06
145,277.0,2.009336717949405e-05
146,278.0,2.0284524260291017e-05
147,279.0,6.6994941881887914e-06
148,280.0,6.6015315553208345e-06
149,281.0,6.6024468668088394e-06
150,282.0,1.3207073708678368e-05
151,283.0,6.567971941623865e-06
152,284.0,1.2850827593297009e-05
153,285.0,6.546216286986122e-06
154,286.0,6.546216286986122e-06
155,287.0,6.546216286986122e-06
156,288.0,1.27890321260487e-05
157,289.0,6.443589594891522e-06
158,290.0,6.421370320426379e-06
159,291.0,6.340269588262893e-06
160,292.0,6.283775292195551e-06
161,293.0,1.8448482612305137e-05
162,294.0,6.218209404419903e-06
163,295.0,6.185822095756526e-06
164,296.0,1.2375012375012376e-05
165,297.0,2.498703797405096e-05
166,298.0,6.123548718953608e-06
167,299.0,2.4367807689261717e-05
168,300.0,1.8518518518518518e-05
169,301.0,1.8518518518518518e-05
170,302.0,1.2173743669653292e-05
171,303.0,2.4814511526340603e-05
172,304.0,1.2366442421844084e-05
173,305.0,1.2466496291217353e-05
174,306.0,1.8603266733638426e-05
175,307.0,6.2520709985182595e-06
176,308.0,6.219833806040703e-06
177,309.0,6.2355413385213035e-06
178,310.0,1.2265423770391267e-05
179,311.0,2.4877633141982872e-05
180,312.0,6.140092346988899e-06
181,313.0,1.231170781855005e-05
182,314.0,1.231170781855005e-05
183,315.0,2.460932693490833e-05
184,316.0,1.2194824516475208e-05
185,317.0,1.2518151319413149e-05
186,318.0,6.1299299961994436e-06
187,319.0,1.2103460379322449e-05
188,320.0,1.232741617357002e-05
189,321.0,1.2511103604448948e-05
190,322.0,1.8485655131617863e-05
191,323.0,6.229326422933888e-06
192,324.0,1.2199287561606401e-05
193,325.0,2.432350258437215e-05
194,326.0,1.2172558184828123e-05
195,327.0,1.266295642043548e-05
196,328.0,6.260329543747183e-06
197,329.0,2.522417989885104e-05
198,330.0,1.8254837531945966e-05
199,331.0,6.2549648783722076e-06
200,332.0,2.5048217819302158e-05
201,333.0,2.4921186746912887e-05
202,334.0,2.4921186746912887e-05
203,335.0,1.8426386585590565e-05
204,336.0,1.2557765722322685e-05
205,337.0,1.2653983157548418e-05
206,338.0,1.275249948990002e-05
207,339.0,6.276281930584322e-06
208,340.0,2.4560972614515536e-05
209,341.0,2.4560972614515536e-05
210,342.0,2.4560972614515536e-05
211,343.0,6.2030891383909186e-06
212,344.0,6.224789602111449e-06
213,345.0,6.180278730570749e-06
214,346.0,6.380073753652592e-06
215,347.0,2.4422410003419136e-05
216,348.0,1.2439667612081405e-05
217,349.0,6.438942725604456e-06
218,350.0,1.2698412698412699e-05
219,351.0,1.2413955769075594e-05
220,352.0,1.240571655418817e-05
221,353.0,6.131734177059956e-06
222,354.0,1.2695994413762458e-05
223,355.0,1.2695994413762458e-05
224,356.0,1.2624668602449186e-05
225,357.0,1.2449424214130097e-05
