,cwnd,p
0,179.0,5.477051155657794e-05
1,180.0,5.446623093681917e-05
2,181.0,5.446623093681917e-05
3,182.0,5.1834957495334856e-05
4,183.0,5.1834957495334856e-05
5,184.0,5.1834957495334856e-05
6,185.0,5.1834957495334856e-05
7,186.0,4.7578266247977927e-05
8,187.0,4.7578266247977927e-05
9,188.0,4.7578266247977927e-05
10,189.0,4.7578266247977927e-05
11,190.0,4.7578266247977927e-05
12,191.0,4.7578266247977927e-05
13,192.0,4.304407713498623e-05
14,193.0,4.304407713498623e-05
15,194.0,4.304407713498623e-05
16,195.0,4.304407713498623e-05
17,196.0,4.304407713498623e-05
18,197.0,4.304407713498623e-05
19,198.0,4.304407713498623e-05
20,199.0,3.5639188852061724e-05
21,200.0,3.5639188852061724e-05
22,201.0,3.5639188852061724e-05
23,202.0,3.5639188852061724e-05
24,203.0,3.5639188852061724e-05
25,204.0,3.5639188852061724e-05
26,205.0,3.5639188852061724e-05
27,206.0,3.5639188852061724e-05
28,207.0,3.5639188852061724e-05
29,208.0,3.5639188852061724e-05
30,209.0,3.5639188852061724e-05
31,210.0,3.5639188852061724e-05
32,211.0,2.925516353636417e-05
33,212.0,2.925516353636417e-05
34,213.0,2.925516353636417e-05
35,214.0,2.925516353636417e-05
36,215.0,2.925516353636417e-05
37,216.0,2.925516353636417e-05
38,217.0,2.6035564581217945e-05
39,218.0,2.6035564581217945e-05
40,219.0,2.6035564581217945e-05
41,220.0,2.6035564581217945e-05
42,221.0,2.6035564581217945e-05
43,222.0,2.6035564581217945e-05
44,223.0,2.6035564581217945e-05
45,224.0,2.6035564581217945e-05
46,225.0,2.6035564581217945e-05
47,226.0,2.6035564581217945e-05
48,227.0,2.6035564581217945e-05
49,228.0,2.6035564581217945e-05
50,229.0,2.6035564581217945e-05
51,230.0,2.6035564581217945e-05
52,231.0,2.6035564581217945e-05
53,232.0,2.6035564581217945e-05
54,233.0,2.6035564581217945e-05
55,234.0,2.6035564581217945e-05
56,235.0,2.6035564581217945e-05
57,236.0,2.6035564581217945e-05
58,237.0,2.6035564581217945e-05
59,238.0,2.6035564581217945e-05
60,239.0,1.8762782145336512e-05
61,240.0,1.8762782145336512e-05
62,241.0,1.8762782145336512e-05
63,242.0,1.8762782145336512e-05
64,243.0,1.8762782145336512e-05
65,244.0,1.8762782145336512e-05
66,245.0,1.7669405424507466e-05
67,246.0,1.7669405424507466e-05
68,247.0,1.7082628674900495e-05
69,248.0,1.7082628674900495e-05
70,249.0,1.7082628674900495e-05
71,250.0,1.7082628674900495e-05
72,251.0,1.7082628674900495e-05
73,252.0,1.7082628674900495e-05
74,253.0,1.6199053975247847e-05
75,254.0,1.6199053975247847e-05
76,255.0,1.6199053975247847e-05
77,256.0,1.6199053975247847e-05
78,257.0,1.5817278795356048e-05
79,258.0,1.5817278795356048e-05
80,259.0,1.5817278795356048e-05
81,260.0,1.5262515262515263e-05
82,261.0,1.5262515262515263e-05
83,262.0,1.5262515262515263e-05
84,263.0,1.5262515262515263e-05
85,264.0,1.5262515262515263e-05
86,265.0,1.4569825890580608e-05
87,266.0,1.440382565609426e-05
88,267.0,1.440382565609426e-05
89,268.0,1.440382565609426e-05
90,269.0,1.440382565609426e-05
91,270.0,1.4524328249818447e-05
92,271.0,1.3924667548562278e-05
93,272.0,1.3924667548562278e-05
94,273.0,1.3924667548562278e-05
95,274.0,1.3924667548562278e-05
96,275.0,1.3924667548562278e-05
97,276.0,1.3924667548562278e-05
98,277.0,1.3924667548562278e-05
99,278.0,1.2846865364850977e-05
100,279.0,1.2846865364850977e-05
101,280.0,1.2800819252432156e-05
102,281.0,1.2356662712534599e-05
103,282.0,1.2356662712534599e-05
104,283.0,1.2356662712534599e-05
105,284.0,1.2356662712534599e-05
106,285.0,1.2356662712534599e-05
107,286.0,1.2356662712534599e-05
108,287.0,1.2356662712534599e-05
109,288.0,1.2356662712534599e-05
110,289.0,1.1973036721303624e-05
111,290.0,1.2141816415735793e-05
112,291.0,1.2141816415735793e-05
113,292.0,1.201634222542658e-05
114,293.0,1.201634222542658e-05
115,294.0,1.1934598400763814e-05
116,295.0,1.1934598400763814e-05
117,296.0,2.439262367060201e-05
118,297.0,2.439262367060201e-05
119,298.0,2.439262367060201e-05
120,299.0,2.439262367060201e-05
121,300.0,1.1574074074074073e-05
122,301.0,1.1616290686058127e-05
123,302.0,1.1224604332697273e-05
124,303.0,1.1419827103817648e-05
125,304.0,1.1419827103817648e-05
126,305.0,1.1544677903486492e-05
127,306.0,1.1268875366238449e-05
128,307.0,1.1268875366238449e-05
129,308.0,1.1273448773448773e-05
130,309.0,1.1355248963833531e-05
131,310.0,1.1355248963833531e-05
132,311.0,1.1282224854741354e-05
133,312.0,1.1282224854741354e-05
134,313.0,1.0904055218135624e-05
135,314.0,1.0904055218135624e-05
136,315.0,1.0904055218135624e-05
137,316.0,1.0904055218135624e-05
138,317.0,1.0904055218135624e-05
139,318.0,1.0904055218135624e-05
140,319.0,1.0904055218135624e-05
141,320.0,1.0775862068965516e-05
142,321.0,1.0892534257020238e-05
143,322.0,1.0892534257020238e-05
144,323.0,1.0892534257020238e-05
145,324.0,1.0569930661254862e-05
146,325.0,1.0569930661254862e-05
147,326.0,1.0569930661254862e-05
148,327.0,1.0569930661254862e-05
149,328.0,1.0441029067824925e-05
150,329.0,1.0441029067824925e-05
151,330.0,1.0441029067824925e-05
152,331.0,1.0453799433404071e-05
153,332.0,1.0453799433404071e-05
154,333.0,1.0453799433404071e-05
155,334.0,1.0453799433404071e-05
156,335.0,1.0453799433404071e-05
157,336.0,1.0453799433404071e-05
158,337.0,1.0453799433404071e-05
159,338.0,1.0453799433404071e-05
160,339.0,1.0453799433404071e-05
161,340.0,1.0453799433404071e-05
162,341.0,3.002612272677229e-05
163,342.0,3.002612272677229e-05
164,343.0,3.002612272677229e-05
165,344.0,3.002612272677229e-05
166,345.0,3.002612272677229e-05
167,346.0,3.002612272677229e-05
168,347.0,3.002612272677229e-05
169,348.0,3.002612272677229e-05
170,349.0,3.002612272677229e-05
171,350.0,9.852216748768473e-06
172,351.0,9.852216748768473e-06
173,352.0,9.852216748768473e-06
174,353.0,9.852216748768473e-06
175,354.0,9.852216748768473e-06
176,355.0,9.852216748768473e-06
177,356.0,9.852216748768473e-06
178,357.0,9.852216748768473e-06
179,358.0,9.852216748768473e-06
180,359.0,9.852216748768473e-06
181,360.0,9.852216748768473e-06
182,361.0,9.852216748768473e-06
183,362.0,9.852216748768473e-06
184,363.0,9.852216748768473e-06
185,364.0,9.852216748768473e-06
186,365.0,9.852216748768473e-06
187,366.0,9.137927883473143e-06
188,367.0,9.137927883473143e-06
189,368.0,9.845620667926906e-06
190,369.0,9.926839195131877e-06
191,370.0,9.926839195131877e-06
192,371.0,9.926839195131877e-06
193,372.0,9.926839195131877e-06
194,373.0,9.926839195131877e-06
195,374.0,1.825117263784198e-05
196,375.0,1.9253910950661854e-05
197,376.0,9.67117988394584e-06
198,377.0,9.67117988394584e-06
199,378.0,9.67117988394584e-06
200,379.0,9.67117988394584e-06
201,380.0,9.67117988394584e-06
202,381.0,9.441265884929852e-06
203,382.0,9.441265884929852e-06
204,383.0,9.441265884929852e-06
205,384.0,3.829656862745098e-05
206,385.0,3.829656862745098e-05
207,386.0,9.455013047918006e-06
208,387.0,9.455013047918006e-06
209,388.0,9.455013047918006e-06
210,389.0,9.455013047918006e-06
211,390.0,9.256687957048968e-06
212,391.0,9.266466510990029e-06
213,392.0,9.266466510990029e-06
214,393.0,9.266466510990029e-06
215,394.0,9.541620548834014e-06
216,395.0,9.541620548834014e-06
217,396.0,9.541620548834014e-06
218,397.0,9.541620548834014e-06
219,398.0,9.541620548834014e-06
220,399.0,9.541620548834014e-06
221,400.0,9.689922480620156e-06
222,401.0,9.481998425988261e-06
223,402.0,1.920897443285503e-05
224,403.0,1.920897443285503e-05
225,404.0,9.593982654079361e-06
226,405.0,9.593982654079361e-06
227,406.0,9.697063729102828e-06
228,407.0,9.697063729102828e-06
229,408.0,1.9686589495235846e-05
230,409.0,9.332014408630247e-06
231,410.0,9.490367277213629e-06
232,411.0,9.579094583979923e-06
233,412.0,9.579094583979923e-06
234,413.0,9.579094583979923e-06
235,414.0,9.579094583979923e-06
236,415.0,9.835259404966806e-06
237,416.0,1.0016025641025641e-05
238,417.0,1.918465227817746e-05
239,418.0,1.0009809613421154e-05
240,419.0,9.86212745813527e-06
241,420.0,2.052545155993432e-05
242,421.0,2.052545155993432e-05
243,422.0,1.9187597137210505e-05
244,423.0,1.9187597137210505e-05
245,424.0,9.868161364174628e-06
246,425.0,9.868161364174628e-06
247,426.0,9.868161364174628e-06
248,427.0,1.0008206729518205e-05
249,428.0,1.0008206729518205e-05
250,429.0,1.0008206729518205e-05
251,430.0,1.0008206729518205e-05
252,431.0,2.0352505393413928e-05
253,432.0,1.0380335492443116e-05
254,433.0,1.0380335492443116e-05
255,434.0,1.0332499845012503e-05
256,435.0,1.0332499845012503e-05
257,436.0,1.0332499845012503e-05
258,437.0,1.0332499845012503e-05
259,438.0,1.033079195851154e-05
260,439.0,1.033079195851154e-05
261,440.0,1.033079195851154e-05
262,441.0,1.033079195851154e-05
263,442.0,1.0722480753147048e-05
264,443.0,1.0597823207113259e-05
265,444.0,1.0379042637107153e-05
266,445.0,1.0379042637107153e-05
267,446.0,1.0379042637107153e-05
268,447.0,1.0379042637107153e-05
269,448.0,1.0379042637107153e-05
270,449.0,1.0379042637107153e-05
271,450.0,1.0379042637107153e-05
272,451.0,1.0379042637107153e-05
273,452.0,1.0379042637107153e-05
274,453.0,1.0379042637107153e-05
275,454.0,1.0379042637107153e-05
276,455.0,1.0379042637107153e-05
277,456.0,1.0379042637107153e-05
278,457.0,1.0379042637107153e-05
279,458.0,1.0379042637107153e-05
280,459.0,1.0839050932700332e-05
281,460.0,1.1035091591260208e-05
282,461.0,1.1035091591260208e-05
283,462.0,1.1035091591260208e-05
284,463.0,3.272465475489233e-05
285,464.0,4.4666785778095405e-05
286,465.0,2.1832869384858904e-05
287,466.0,2.1832869384858904e-05
288,467.0,1.1574743908791018e-05
289,468.0,1.1574743908791018e-05
290,469.0,1.1574743908791018e-05
291,470.0,1.1574743908791018e-05
292,471.0,1.1574743908791018e-05
293,472.0,2.315457997591924e-05
294,473.0,1.1745360582569884e-05
295,474.0,1.2055455093429777e-05
296,475.0,1.2055455093429777e-05
297,476.0,1.2055455093429777e-05
298,477.0,1.19115685153421e-05
299,478.0,1.19115685153421e-05
300,479.0,1.19115685153421e-05
301,480.0,1.1973180076628353e-05
302,481.0,1.1973180076628353e-05
303,482.0,1.1973180076628353e-05
304,483.0,1.1973180076628353e-05
305,484.0,1.1973180076628353e-05
306,485.0,1.220032940889404e-05
307,486.0,1.220032940889404e-05
308,487.0,1.2150225386680923e-05
309,488.0,1.1844972993461575e-05
310,489.0,1.262339367315509e-05
311,490.0,1.262339367315509e-05
312,491.0,1.2890252391141819e-05
313,492.0,1.2890252391141819e-05
314,493.0,1.2890252391141819e-05
315,494.0,1.2890252391141819e-05
316,495.0,1.2890252391141819e-05
317,496.0,1.2890252391141819e-05
318,497.0,1.2890252391141819e-05
319,498.0,1.2709064104519342e-05
320,499.0,1.2709064104519342e-05
321,500.0,1.2709064104519342e-05
322,501.0,1.2709064104519342e-05
323,502.0,1.3369341426241343e-05
324,503.0,1.3369341426241343e-05
325,504.0,1.3369341426241343e-05
326,505.0,1.3369341426241343e-05
327,506.0,1.3001872269606823e-05
328,507.0,1.3326936403859481e-05
329,508.0,1.2458885677265025e-05
330,509.0,1.2458885677265025e-05
331,510.0,1.2458885677265025e-05
332,511.0,1.2458885677265025e-05
333,512.0,1.3020833333333334e-05
334,513.0,1.3536928741607104e-05
335,514.0,1.3510592304366623e-05
336,515.0,1.4490653528474133e-05
337,516.0,2.7884669008978864e-05
338,517.0,2.7884669008978864e-05
339,518.0,2.7884669008978864e-05
340,519.0,1.5052986512524085e-05
341,520.0,1.5052986512524085e-05
342,521.0,1.5052986512524085e-05
343,522.0,1.5052986512524085e-05
344,523.0,1.4937858508604206e-05
345,524.0,1.4793774779572756e-05
346,525.0,2.8011204481792718e-05
347,526.0,2.8011204481792718e-05
348,527.0,2.8011204481792718e-05
349,528.0,2.8011204481792718e-05
350,529.0,1.476843100189036e-05
351,530.0,1.476843100189036e-05
352,531.0,1.5436386650612826e-05
353,532.0,1.5436386650612826e-05
354,533.0,1.5436386650612826e-05
355,534.0,1.5436386650612826e-05
356,535.0,1.557632398753894e-05
357,536.0,1.3718173836698859e-05
358,537.0,1.3718173836698859e-05
359,538.0,1.3718173836698859e-05
360,539.0,1.3718173836698859e-05
361,540.0,1.3718173836698859e-05
362,541.0,1.3718173836698859e-05
363,542.0,1.4527704332161432e-05
364,543.0,1.4527704332161432e-05
365,544.0,1.4527704332161432e-05
366,545.0,1.4527704332161432e-05
367,546.0,1.4527704332161432e-05
368,547.0,1.4527704332161432e-05
369,548.0,1.4527704332161432e-05
370,549.0,4.835823782581363e-05
