,cwnd,p
0,205.0,7.390983000739098e-05
1,206.0,7.355104442483083e-05
2,207.0,7.355104442483083e-05
3,208.0,7.355104442483083e-05
4,209.0,7.355104442483083e-05
5,210.0,7.355104442483083e-05
6,211.0,7.355104442483083e-05
7,212.0,7.355104442483083e-05
8,213.0,7.355104442483083e-05
9,214.0,7.355104442483083e-05
10,215.0,7.355104442483083e-05
11,216.0,7.355104442483083e-05
12,217.0,7.355104442483083e-05
13,218.0,7.355104442483083e-05
14,219.0,7.355104442483083e-05
15,220.0,7.355104442483083e-05
16,221.0,5.3867700926524454e-05
17,222.0,5.3867700926524454e-05
18,223.0,5.3867700926524454e-05
19,224.0,5.0730519480519484e-05
20,225.0,5.0730519480519484e-05
21,226.0,5.0730519480519484e-05
22,227.0,5.0730519480519484e-05
23,228.0,5.0730519480519484e-05
24,229.0,5.0730519480519484e-05
25,230.0,5.0730519480519484e-05
26,231.0,5.0730519480519484e-05
27,232.0,5.0730519480519484e-05
28,233.0,5.0730519480519484e-05
29,234.0,5.0730519480519484e-05
30,235.0,5.0730519480519484e-05
31,236.0,5.0730519480519484e-05
32,237.0,5.0730519480519484e-05
33,238.0,5.0730519480519484e-05
34,239.0,5.0730519480519484e-05
35,240.0,5.0730519480519484e-05
36,241.0,5.0730519480519484e-05
37,242.0,5.0730519480519484e-05
38,243.0,5.0730519480519484e-05
39,244.0,5.0730519480519484e-05
40,245.0,2.9577048210588582e-05
41,246.0,2.9577048210588582e-05
42,247.0,2.9577048210588582e-05
43,248.0,2.9577048210588582e-05
44,249.0,2.9577048210588582e-05
45,250.0,2.9577048210588582e-05
46,251.0,2.9577048210588582e-05
47,252.0,2.9577048210588582e-05
48,253.0,2.9577048210588582e-05
49,254.0,2.9577048210588582e-05
50,255.0,2.99356383774884e-05
51,256.0,2.99356383774884e-05
52,257.0,2.99356383774884e-05
53,258.0,2.99356383774884e-05
54,259.0,2.99356383774884e-05
55,260.0,2.99356383774884e-05
56,261.0,2.99356383774884e-05
57,262.0,2.99356383774884e-05
58,263.0,2.99356383774884e-05
59,264.0,2.99356383774884e-05
60,265.0,2.99356383774884e-05
61,266.0,2.99356383774884e-05
62,267.0,2.99356383774884e-05
63,268.0,2.99356383774884e-05
64,269.0,2.99356383774884e-05
65,270.0,2.99356383774884e-05
66,271.0,2.99356383774884e-05
67,272.0,2.99356383774884e-05
68,273.0,2.99356383774884e-05
69,274.0,2.99356383774884e-05
70,275.0,2.99356383774884e-05
71,276.0,2.99356383774884e-05
72,277.0,2.99356383774884e-05
73,278.0,2.99356383774884e-05
74,279.0,2.99356383774884e-05
75,280.0,2.99356383774884e-05
76,281.0,2.99356383774884e-05
77,282.0,2.99356383774884e-05
78,283.0,2.99356383774884e-05
79,284.0,2.99356383774884e-05
80,285.0,2.99356383774884e-05
81,286.0,2.99356383774884e-05
82,287.0,2.99356383774884e-05
83,288.0,2.99356383774884e-05
84,289.0,2.99356383774884e-05
85,290.0,2.99356383774884e-05
86,291.0,2.99356383774884e-05
87,292.0,2.99356383774884e-05
88,293.0,5.5950316119286074e-05
89,294.0,5.5950316119286074e-05
90,295.0,5.5950316119286074e-05
91,296.0,5.5950316119286074e-05
92,297.0,5.5950316119286074e-05
93,298.0,5.5950316119286074e-05
94,299.0,5.5950316119286074e-05
95,300.0,5.5950316119286074e-05
96,301.0,5.5950316119286074e-05
97,302.0,5.5950316119286074e-05
98,303.0,5.5950316119286074e-05
99,304.0,5.5950316119286074e-05
100,305.0,5.5950316119286074e-05
101,306.0,5.5950316119286074e-05
102,307.0,5.5950316119286074e-05
103,308.0,5.5950316119286074e-05
104,309.0,5.5950316119286074e-05
105,310.0,5.5950316119286074e-05
106,311.0,5.5950316119286074e-05
107,312.0,5.5950316119286074e-05
108,313.0,5.5950316119286074e-05
109,314.0,5.5950316119286074e-05
