,cwnd,p
0,240.0,5.020080321285141e-05
1,241.0,5.020080321285141e-05
2,242.0,5.020080321285141e-05
3,243.0,5.020080321285141e-05
4,244.0,5.020080321285141e-05
5,245.0,5.020080321285141e-05
6,246.0,5.020080321285141e-05
7,247.0,5.020080321285141e-05
8,248.0,5.020080321285141e-05
9,249.0,5.020080321285141e-05
10,250.0,5.020080321285141e-05
11,251.0,5.020080321285141e-05
12,252.0,5.020080321285141e-05
13,253.0,5.020080321285141e-05
14,254.0,5.020080321285141e-05
15,255.0,5.020080321285141e-05
16,256.0,5.020080321285141e-05
17,257.0,5.020080321285141e-05
18,258.0,5.020080321285141e-05
19,259.0,5.020080321285141e-05
20,260.0,5.020080321285141e-05
21,261.0,5.020080321285141e-05
22,262.0,5.020080321285141e-05
23,263.0,5.020080321285141e-05
24,264.0,5.020080321285141e-05
25,265.0,5.020080321285141e-05
26,266.0,5.020080321285141e-05
27,267.0,5.020080321285141e-05
28,268.0,5.020080321285141e-05
29,269.0,5.020080321285141e-05
30,270.0,5.020080321285141e-05
31,271.0,5.020080321285141e-05
32,272.0,5.020080321285141e-05
33,273.0,5.020080321285141e-05
34,274.0,5.020080321285141e-05
35,275.0,5.020080321285141e-05
36,276.0,5.020080321285141e-05
37,277.0,5.020080321285141e-05
38,278.0,5.020080321285141e-05
39,279.0,5.020080321285141e-05
40,280.0,5.020080321285141e-05
41,281.0,5.020080321285141e-05
42,282.0,5.020080321285141e-05
43,283.0,2.420252674379205e-05
44,284.0,2.420252674379205e-05
45,285.0,2.420252674379205e-05
46,286.0,2.420252674379205e-05
47,287.0,2.420252674379205e-05
48,288.0,2.420252674379205e-05
49,289.0,2.261573602912907e-05
50,290.0,2.261573602912907e-05
51,291.0,2.261573602912907e-05
52,292.0,2.261573602912907e-05
53,293.0,2.1738657855264015e-05
54,294.0,2.1738657855264015e-05
55,295.0,2.1738657855264015e-05
56,296.0,2.1738657855264015e-05
57,297.0,2.1738657855264015e-05
58,298.0,2.1738657855264015e-05
59,299.0,2.1738657855264015e-05
60,300.0,2.1738657855264015e-05
61,301.0,2.1738657855264015e-05
62,302.0,2.1738657855264015e-05
63,303.0,2.1738657855264015e-05
64,304.0,2.1738657855264015e-05
65,305.0,2.1738657855264015e-05
66,306.0,2.1738657855264015e-05
67,307.0,2.1738657855264015e-05
68,308.0,2.1738657855264015e-05
69,309.0,2.1738657855264015e-05
70,310.0,2.1738657855264015e-05
71,311.0,2.1738657855264015e-05
72,312.0,2.1738657855264015e-05
73,313.0,2.1738657855264015e-05
74,314.0,2.1738657855264015e-05
75,315.0,2.1738657855264015e-05
76,316.0,2.1738657855264015e-05
77,317.0,2.1738657855264015e-05
78,318.0,2.1738657855264015e-05
79,319.0,2.1738657855264015e-05
80,320.0,2.1738657855264015e-05
81,321.0,2.1738657855264015e-05
82,322.0,2.1738657855264015e-05
83,323.0,2.1738657855264015e-05
84,324.0,1.5747039556563368e-05
85,325.0,1.5747039556563368e-05
86,326.0,1.5747039556563368e-05
87,327.0,1.5747039556563368e-05
88,328.0,1.5747039556563368e-05
89,329.0,1.5747039556563368e-05
90,330.0,1.5747039556563368e-05
91,331.0,1.4956178397295922e-05
92,332.0,1.4956178397295922e-05
93,333.0,1.4793118241394104e-05
94,334.0,1.4793118241394104e-05
95,335.0,1.4793118241394104e-05
96,336.0,1.4793118241394104e-05
97,337.0,1.4793118241394104e-05
98,338.0,1.4362038260469926e-05
99,339.0,1.4362038260469926e-05
100,340.0,1.4362038260469926e-05
101,341.0,1.4031346027024373e-05
102,342.0,1.4031346027024373e-05
103,343.0,1.4361831995289319e-05
104,344.0,1.4361831995289319e-05
105,345.0,1.3802622498274672e-05
106,346.0,1.3802622498274672e-05
107,347.0,1.4126688139232639e-05
108,348.0,1.4126688139232639e-05
109,349.0,1.4255370710915337e-05
110,350.0,1.4255370710915337e-05
111,351.0,1.3763298787453377e-05
112,352.0,1.3763298787453377e-05
113,353.0,1.3763298787453377e-05
114,354.0,1.3763298787453377e-05
115,355.0,1.3763298787453377e-05
116,356.0,1.3763298787453377e-05
117,357.0,1.3763298787453377e-05
118,358.0,1.3763298787453377e-05
119,359.0,1.3763298787453377e-05
120,360.0,1.3763298787453377e-05
121,361.0,1.4061335545650127e-05
122,362.0,1.4061335545650127e-05
123,363.0,1.4061335545650127e-05
124,364.0,1.3020155200249988e-05
125,365.0,1.3020155200249988e-05
126,366.0,1.3020155200249988e-05
127,367.0,1.2913723413871922e-05
128,368.0,1.2913723413871922e-05
129,369.0,1.2913723413871922e-05
130,370.0,1.2913723413871922e-05
131,371.0,1.2364301787878039e-05
132,372.0,1.2364301787878039e-05
133,373.0,1.2364301787878039e-05
134,374.0,1.2265122896531424e-05
135,375.0,1.2232415902140673e-05
136,376.0,1.2370113805047006e-05
137,377.0,1.2370113805047006e-05
138,378.0,1.2370113805047006e-05
139,379.0,1.2685203978079967e-05
140,380.0,1.2685203978079967e-05
141,381.0,3.822337741762862e-05
142,382.0,3.822337741762862e-05
143,383.0,3.822337741762862e-05
144,384.0,1.2226134585289515e-05
145,385.0,1.2547838634795157e-05
146,386.0,1.2547838634795157e-05
147,387.0,1.2547838634795157e-05
148,388.0,1.2547838634795157e-05
149,389.0,1.2547838634795157e-05
150,390.0,1.2756729174639622e-05
151,391.0,2.519748529096796e-05
152,392.0,2.519748529096796e-05
153,393.0,2.519748529096796e-05
154,394.0,2.519748529096796e-05
155,395.0,2.519748529096796e-05
156,396.0,2.519748529096796e-05
157,397.0,2.519748529096796e-05
